Students whose university name did not match a University record:
firstname,middlename,lastname,age,gender,streetAddress,city,state,zip,phone,university,studentid,credits,instate,healthPlan,foodPlan,lateFees
James,Eugen,Bach,24,M,1525 Justice,Valley,NV,89656,4558304417,University of California Berkeley,44117698RA,5,N,N,B,N
Andy,Joshua,Draper,16,M,344 Wall,Hicksville,ID,83795,4014500637,Brigham Young University,36019240OR,11,N,N,A,Y
Dean,Dean,Grant,26,M,3449 Grant,Boon,CA,95193,5727539733,Brigham Young University,80066828SE,11,N,N,B,Y
Millie,Anne,Hamilton,28,F,2634 Maddison,Madison,CT,06425,2248857464,Brigham Young University,46292446YB,10,N,Y,A,Y
Carolyn,Lorraine,Hill,27,F,1547 Hoover,Buggtown,MN,55565,5394568943,Brigham Young University,55009629II,10,Y,N,C,N
Cara,Missy,Jackson,23,F,1395 River,Madison,PA,15108,8511241174,University of California Berkeley,00109446YL,3,N,N,B,Y
Jane,Elisabeth,Lincoln,22,F,1615 Hampton,Bagdad,RI,02801,5854673448,University of California Berkeley,10467688RJ,14,N,Y,C,Y
Missy,Julie,Lincoln,24,F,2419 sixth,Boon,MD,20680,9102722213,University of California Berkeley,17901222JU,13,N,N,B,N
Millie,Genevie,Newton,14,F,1597 Main,Troy,VA,24541,6119707092,University of California Berkeley,21685669JI,4,N,Y,C,Y
Peter,Greg,Ohm,20,M,1694 Tenth,Plains,GA,39901,2905144048,University of California Berkeley,59475182ST,4,N,N,C,N
Elenore,Julie,Smith,26,F,1603 Third,Honolulu,MS,39179,4556687628,Brigham Young University,56725890VV,18,N,Y,B,N
Andy,Fred,Williams,20,M,3868 Gibson,Freetown,TN,38328,1128746194,University of California Berkeley,08253012WN,20,N,Y,D,N
